first_seen,last_updated,paper_key,kind,paper_id,title,url,reach_score,trend_score,post_count,creator_count,creators,top_post_url,top_post_views,total_views,total_likes,total_reposts,newest_post_iso,in_main_ledger,reported_on,last_reported_reach,picked,my_notes
2026-07-20,2026-07-20,arxiv:2607.13104,arxiv,2607.13104,Self-Improvements in Modern Agentic Systems: A Survey,https://arxiv.org/abs/2607.13104,213811,169947,1,1,omarsar0,https://x.com/omarsar0/status/2077792894459793714,44361,44361,786,148,2026-07-16T16:30:04+00:00,YES,2026-07-20,213809,,
2026-07-20,2026-07-20,arxiv:2603.19220,arxiv,2603.19220,Nemotron-Cascade 2: Post-Training LLMs with Cascade RL and Multi-Domain On-Policy Distillation,https://arxiv.org/abs/2603.19220,205058,145586,2,2,cwolferesearch BhavinJawade,https://x.com/cwolferesearch/status/2076340103115407578,33363,58347,553,65,2026-07-15T01:24:10+00:00,,2026-07-20,205058,,
2026-07-20,2026-07-20,arxiv:2607.14159,arxiv,2607.14159,MemoHarness: Agent Harnesses That Learn from Experience,https://arxiv.org/abs/2607.14159,163751,138628,1,1,omarsar0,https://x.com/omarsar0/status/2078122558059327745,35501,35501,536,87,2026-07-17T14:20:02+00:00,,2026-07-20,163750,,
2026-07-20,2026-07-20,arxiv:2607.11881,arxiv,2607.11881,"Metacognition in LLMs: Foundations, Progress, and Opportunities",https://arxiv.org/abs/2607.11881,127680,87971,1,1,omarsar0,https://x.com/omarsar0/status/2077045732268560738,34880,34880,462,84,2026-07-14T15:01:06+00:00,YES,2026-07-20,127680,,
2026-07-20,2026-07-20,arxiv:2505.00949,arxiv,2505.00949,Llama-Nemotron: Efficient Reasoning Models,https://arxiv.org/abs/2505.00949,106013,63820,1,1,cwolferesearch,https://x.com/cwolferesearch/status/2076340103115407578,33363,33363,367,36,2026-07-12T16:17:11+00:00,,2026-07-20,106013,,
2026-07-20,2026-07-20,arxiv:2508.14444,arxiv,2508.14444,NVIDIA Nemotron Nano 2: An Accurate and Efficient Hybrid Mamba-Transformer Reasoning Model,https://arxiv.org/abs/2508.14444,106013,63820,1,1,cwolferesearch,https://x.com/cwolferesearch/status/2076340103115407578,33363,33363,367,36,2026-07-12T16:17:11+00:00,,2026-07-20,106013,,
2026-07-20,2026-07-20,arxiv:2512.20856,arxiv,2512.20856,NVIDIA Nemotron 3: Efficient and Open Intelligence,https://arxiv.org/abs/2512.20856,106013,63820,1,1,cwolferesearch,https://x.com/cwolferesearch/status/2076340103115407578,33363,33363,367,36,2026-07-12T16:17:11+00:00,,2026-07-20,106013,,
2026-07-20,2026-07-20,arxiv:2606.15007,arxiv,2606.15007,"Nemotron 3 Ultra: Open, Efficient Mixture-of-Experts Hybrid Mamba-Transformer Model for Agentic Reasoning",https://arxiv.org/abs/2606.15007,106013,63820,1,1,cwolferesearch,https://x.com/cwolferesearch/status/2076340103115407578,33363,33363,367,36,2026-07-12T16:17:11+00:00,,2026-07-20,106013,,
2026-07-20,2026-07-20,arxiv:2512.13607,arxiv,2512.13607,Nemotron-Cascade: Scaling Cascaded Reinforcement Learning for General-Purpose Reasoning Models,https://arxiv.org/abs/2512.13607,106013,63820,1,1,cwolferesearch,https://x.com/cwolferesearch/status/2076340103115407578,33363,33363,367,36,2026-07-12T16:17:11+00:00,,2026-07-20,106013,,
2026-07-20,2026-07-20,arxiv:2607.08716,arxiv,2607.08716,Remember When It Matters: Proactive Memory Agent for Long-Horizon Agents,https://arxiv.org/abs/2607.08716,117306,61338,1,1,omarsar0,https://x.com/omarsar0/status/2075603504543269136,42606,42606,367,58,2026-07-10T15:30:12+00:00,,2026-07-20,117306,,
